# B2  M_xy  beta  p  rho  v2
  2.001363e-02  -2.111325e-06   2.488524e+03   9.908269e-01   9.945242e-01   1.329897e-01
  2.010815e-02  -3.683228e-06   2.481333e+03   9.926297e-01   9.955786e-01   1.335688e-01
  2.020001e-02   2.253321e-06   2.474270e+03   9.943263e-01   9.959231e-01   1.337395e-01
  2.213578e-02  -2.545514e-06   2.269331e+03   9.993618e-01   1.000222e+00   1.436614e-01
  1.842826e-02  -1.595203e-05   2.731418e+03   1.001389e+00   9.981578e-01   1.305951e-01
  2.020814e-02  -6.380889e-06   2.474213e+03   9.947031e-01   9.958416e-01   1.331612e-01
  2.024408e-02  -8.958713e-06   2.466464e+03   9.933512e-01   9.957775e-01   1.323774e-01
  2.033941e-02  -6.629378e-06   2.445215e+03   9.894311e-01   9.940390e-01   1.343661e-01
  2.034159e-02  -8.479344e-06   2.447786e+03   9.905776e-01   9.949097e-01   1.339482e-01
  2.054653e-02  -5.632841e-06   2.423254e+03   9.905299e-01   9.947402e-01   1.349141e-01
  2.044304e-02  -2.186074e-06   2.437701e+03   9.914162e-01   9.943115e-01   1.347814e-01
  2.042877e-02   7.961249e-06   2.446408e+03   9.942629e-01   9.952406e-01   1.369988e-01
  1.858191e-02  -3.093274e-05   2.694382e+03   9.960467e-01   9.951547e-01   1.346359e-01
  2.003826e-02  -1.155652e-05   2.494133e+03   9.942823e-01   9.954636e-01   1.329239e-01
  2.000260e-02  -6.952038e-06   2.494603e+03   9.927003e-01   9.953893e-01   1.328952e-01
  2.011849e-02   3.294455e-06   2.480927e+03   9.929778e-01   9.961035e-01   1.324522e-01
  2.009229e-02   5.886354e-06   2.481842e+03   9.920506e-01   9.955346e-01   1.327064e-01
  2.025372e-02   7.246333e-06   2.465081e+03   9.932674e-01   9.960540e-01   1.334636e-01
  2.015031e-02   5.941122e-06   2.478733e+03   9.936689e-01   9.955194e-01   1.336708e-01
  2.128732e-02  -2.975991e-06   2.355692e+03   9.976304e-01   9.984159e-01   1.418010e-01
  1.779032e-02  -1.605080e-05   2.823301e+03   9.992430e-01   9.966231e-01   1.306760e-01
  2.003146e-02   3.890324e-06   2.493011e+03   9.934978e-01   9.950552e-01   1.327725e-01
  2.017548e-02   5.888212e-06   2.473299e+03   9.927291e-01   9.955167e-01   1.324709e-01
  2.048300e-02   1.066976e-05   2.431174e+03   9.906946e-01   9.950368e-01   1.350612e-01
  2.032257e-02   1.186572e-05   2.452115e+03   9.914018e-01   9.952741e-01   1.340203e-01
  2.061812e-02   1.633392e-05   2.417528e+03   9.916325e-01   9.954993e-01   1.351127e-01
  2.059654e-02   9.590288e-06   2.422357e+03   9.925734e-01   9.951556e-01   1.348821e-01
  2.181995e-02   1.681258e-05   2.295873e+03   9.966250e-01   9.970977e-01   1.362374e-01
  1.825592e-02   4.399158e-06   2.749175e+03   9.984729e-01   9.971074e-01   1.369920e-01
  1.989263e-02   1.083924e-05   2.517647e+03   9.963617e-01   9.967153e-01   1.322619e-01
  2.006772e-02   6.340408e-06   2.490018e+03   9.941012e-01   9.961729e-01   1.322891e-01
  2.013635e-02   2.417013e-06   2.481187e+03   9.939633e-01   9.967009e-01   1.324942e-01
  2.013507e-02   1.747356e-06   2.479266e+03   9.931304e-01   9.958933e-01   1.327751e-01
  2.024960e-02   1.802598e-06   2.465076e+03   9.930630e-01   9.957258e-01   1.332991e-01
  2.018311e-02  -6.488710e-07   2.471739e+03   9.924779e-01   9.947224e-01   1.335897e-01
  2.039840e-02   1.185132e-05   2.453307e+03   9.955847e-01   9.964951e-01   1.371648e-01
  1.718147e-02   9.411920e-06   2.914242e+03   9.961300e-01   9.945151e-01   1.308782e-01
  2.002596e-02   2.012556e-06   2.491150e+03   9.924834e-01   9.944549e-01   1.328973e-01
  2.005419e-02  -4.293428e-08   2.485999e+03   9.918277e-01   9.947193e-01   1.330446e-01
  2.041176e-02  -6.295325e-06   2.441029e+03   9.912506e-01   9.954718e-01   1.352353e-01
  2.036559e-02  -7.608257e-06   2.448070e+03   9.918615e-01   9.957144e-01   1.343500e-01
  2.051580e-02  -7.465875e-06   2.430981e+03   9.922019e-01   9.957742e-01   1.353687e-01
  2.067554e-02  -2.307751e-06   2.416239e+03   9.938638e-01   9.959576e-01   1.352859e-01
  2.169901e-02   4.752459e-06   2.311389e+03   9.977989e-01   9.978249e-01   1.343749e-01
  1.884930e-02  -1.650461e-05   2.669210e+03   1.000940e+00   9.995105e-01   1.397573e-01
