# Spin Glass MC Results T=1.50
# Columns: sweep  energy_density  magnetization_density  overlap  overlap_squared
   284      -1.40533626       0.06250000       0.53125000       0.28222656
   285      -1.41687299       0.03125000       0.68750000       0.47265625
   286      -1.34996699       0.18750000       0.37500000       0.14062500
   287      -1.47863804       0.09375000       0.46875000       0.21972656
   288      -1.47776223       0.09375000       0.53125000       0.28222656
   289      -1.31158048       0.03125000       0.71875000       0.51660156
   290      -1.29179321       0.06250000       0.43750000       0.19140625
   291      -1.37912106       0.15625000       0.59375000       0.35253906
   292      -1.21327987       0.06250000       0.56250000       0.31640625
   293      -1.32096751       0.12500000       0.65625000       0.43066406
   294      -1.32595688       0.21875000       0.43750000       0.19140625
   295      -1.35537124       0.06250000       0.59375000       0.35253906
   296      -1.36237001       0.25000000       0.56250000       0.31640625
   297      -1.43292499       0.03125000       0.78125000       0.61035156
   298      -1.38992516       0.15625000       0.81250000       0.66015625
   299      -1.33761647       0.15625000       0.78125000       0.61035156

# Summary Statistics
# beta = 0.666667
# <E>/N = -1.27739146
# Var(E)/N = 0.01421015
# <|m|> = 0.09750000
# <q> = 0.47125000
# <q^2> = 0.25621745
# Binder cumulant g = 0.81506247
# chi_SG = 16.39791667
# C_V = 0.40555169
# Acceptance ratio = 0.195573
# tau_int(E) = 1.9486
# tau_int(q) = 0.3674
